t_wall,t_rtde,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,target_q0,target_q1,target_q2,target_q3,target_q4,target_q5,target_qd0,target_qd1,target_qd2,target_qd3,target_qd4,target_qd5,current0,current1,current2,current3,current4,current5,target_current0,target_current1,target_current2,target_current3,target_current4,target_current5,target_moment0,target_moment1,target_moment2,target_moment3,target_moment4,target_moment5,temp0,temp1,temp2,temp3,temp4,temp5,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,tcp_vx,tcp_vy,tcp_vz,tcp_wx,tcp_wy,tcp_wz,tcp_t_vx,tcp_t_vy,tcp_t_vz,tcp_t_wx,tcp_t_wy,tcp_t_wz,robot_status,robot_mode,safety_mode,safety_status_bits,runtime_state,speed_scaling,speed_scaling_combined,momentum,target_speed_fraction,payload,ft_wrench0,ft_wrench1,ft_wrench2,ft_wrench3,ft_wrench4,ft_wrench5,execution_time,joint_voltage0,joint_voltage1,joint_voltage2,joint_voltage3,joint_voltage4,joint_voltage5,main_voltage,robot_current,robot_voltage,din_bits,dout_bits
0.000019,1160.704,-0.3270214239703577,-1.4200227896319788,1.2360506057739258,-1.3861048857318323,-1.5709903875934046,2.7379846572875977,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3269999921321869,-1.4199999570846558,1.2359999418258667,-1.3860000371932983,-1.5709999799728394,2.73799991607666,0.0,0.0,0.0,0.0,0.0,0.0,0.0269165076315403,-1.0721741914749146,-0.6191667318344116,-0.204775869846344,0.06602063775062561,0.01342792622745037,-1.6247398572220953e-17,-1.0687898256887804,-1.1894663183301544,-0.4440940167833153,-5.2832411492621246e-05,0.0,-1.8685101751901281e-16,-12.025484868222945,-9.938868412204133,-1.879681580772009,-0.0002231161185564005,0.0,36.88993835449219,38.64998245239258,39.42998123168945,42.90981674194336,44.019981384277344,44.98812484741211,-0.34993092004328347,0.0001651347241575519,0.22437538168441645,-2.30302818617011,2.1307124584535067,0.000607665587235723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,1.0,2.0,1.0,0.24,0.0,0.24,1.0,nan,nan,nan,nan,nan,nan,0.43445999999999996,47.18000030517578,47.073001861572266,46.95199966430664,46.875999450683594,46.99700164794922,46.93600082397461,47.21864318847656,0.6803395748138428,47.21864318847656,0.0,0.0
0.008210,1160.712,-0.327033821736471,-1.420046631489889,1.2360386848449707,-1.386092487965719,-1.5709779898272913,2.738020658493042,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3269999921321869,-1.4199999570846558,1.2359999418258667,-1.3860000371932983,-1.5709999799728394,2.73799991607666,0.0,0.0,0.0,0.0,0.0,0.0,0.0314025916159153,-1.092361569404602,-0.6100164651870728,-0.2014188915491104,0.07497258484363556,0.04028377681970596,-1.6247398572220953e-17,-1.0687898256887804,-1.1894663183301544,-0.4440940167833153,-5.2832411492621246e-05,0.0,-1.8685101751901281e-16,-12.025484868222945,-9.938868412204133,-1.879681580772009,-0.0002231161185564005,0.0,36.88993835449219,38.64998245239258,39.42998123168945,42.90983581542969,44.019981384277344,44.98812484741211,-0.3499295741003059,0.00016630024666250035,0.22438573618718047,-2.302991842566366,2.1307824059938274,0.0006332846720802623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,1.0,2.0,1.0,0.24,0.0,0.24,1.0,nan,nan,nan,nan,nan,nan,0.43764,47.18000030517578,47.073001861572266,46.95199966430664,46.86000061035156,46.99700164794922,46.93600082397461,47.21864318847656,0.6803395748138428,47.21864318847656,0.0,0.0
0.016360,1160.72,-0.327033821736471,-1.4200108687030237,1.2360386848449707,-1.3861048857318323,-1.5709660688983362,2.738020658493042,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3269999921321869,-1.4199999570846558,1.2359999418258667,-1.3860000371932983,-1.5709999799728394,2.73799991607666,0.0,0.0,0.0,0.0,0.0,0.0,0.02243042178452015,-1.0811463594436646,-0.642042338848114,-0.20925185084342957,0.0682586282491684,0.02685585245490074,-1.6247398572220953e-17,-1.0687898256887804,-1.1894663183301544,-0.4440940167833153,-5.2832411492621246e-05,0.0,-1.8685101751901281e-16,-12.025484868222945,-9.938868412204133,-1.879681580772009,-0.0002231161185564005,0.0,36.88993835449219,38.64998245239258,39.42998123168945,42.90983581542969,44.019981384277344,44.98812484741211,-0.3499352542734333,0.00016562087308906633,0.22437492642072965,-2.302992920026254,2.1307832803507303,0.0005921643333935646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,1.0,2.0,1.0,0.24,0.0,0.24,1.0,nan,nan,nan,nan,nan,nan,0.426192,47.18000030517578,47.073001861572266,46.95199966430664,46.86000061035156,46.99700164794922,46.93600082397461,47.21864318847656,0.6803395748138428,47.21864318847656,0.0,0.0
0.024530,1160.7279999999998,-0.3269856611834925,-1.4200347105609339,1.2360749244689941,-1.3861048857318323,-1.5709903875934046,2.738020658493042,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3269999921321869,-1.4199999570846558,1.2359999418258667,-1.3860000371932983,-1.5709999799728394,2.73799991607666,0.0,0.0,0.0,0.0,0.0,0.0,0.02243042178452015,-1.0990906953811646,-0.6039162874221802,-0.21596580743789673,0.07497258484363556,0.03245082125067711,-1.6247398572220953e-17,-1.0687898256887804,-1.1894663183301544,-0.4440940167833153,-5.2832411492621246e-05,0.0,-1.8685101751901281e-16,-12.025484868222945,-9.938868412204133,-1.879681580772009,-0.0002231161185564005,0.0,36.88993835449219,38.64998245239258,39.42998123168945,42.90983581542969,44.019981384277344,44.98812484741211,-0.34992622304135657,0.00015102664468178014,0.2243721609551292,-2.3030242575043807,2.1307092794502256,0.0005901398862552385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,1.0,2.0,1.0,0.24,0.0,0.24,1.0,nan,nan,nan,nan,nan,nan,0.425916,47.18000030517578,47.073001861572266,46.95199966430664,46.86000061035156,46.99700164794922,46.93600082397461,47.21864318847656,0.6087239384651184,47.21864318847656,0.0,0.0
0.032659,1160.7359999999999,-0.32700950304140264,-1.420058552418844,1.2360625267028809,-1.3861168066607874,-1.5709660688983362,2.738032579421997,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3269999921321869,-1.4199999570846558,1.2359999418258667,-1.3860000371932983,-1.5709999799728394,2.73799991607666,0.0,0.0,0.0,0.0,0.0,0.0,0.02467346377670765,-1.1035767793655396,-0.623741865158081,-0.2025378942489624,0.07273460179567337,0.03021283447742462,-1.6247398572220953e-17,-1.0687898256887804,-1.1894663183301544,-0.4440940167833153,-5.2832411492621246e-05,0.0,-1.8685101751901281e-16,-12.025484868222945,-9.938868412204133,-1.879681580772009,-0.0002231161185564005,0.0,36.88993835449219,38.64998245239258,39.42998123168945,42.90983581542969,44.019981384277344,44.98812484741211,-0.3499305232233524,0.00015548678690473764,0.22438471711315985,-2.303016837313865,2.1307788897966473,0.0006435141907382427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,1.0,2.0,1.0,0.24,0.0,0.24,1.0,nan,nan,nan,nan,nan,nan,0.426636,47.18000030517578,47.073001861572266,46.95199966430664,46.86000061035156,46.99700164794922,46.93600082397461,47.21864318847656,0.7877604365348816,47.21864318847656,0.0,0.0
0.040848,1160.744,-0.32700950304140264,-1.4200347105609339,1.2360506057739258,-1.3861168066607874,-1.5709660688983362,2.738044500350952,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3269999921321869,-1.4199999570846558,1.2359999418258667,-1.3860000371932983,-1.5709999799728394,2.73799991607666,0.0,0.0,0.0,0.0,0.0,0.0,0.0314025916159153,-1.0901185274124146,-0.6206917762756348,-0.20701386034488678,0.08056755363941193,0.04699774086475372,-1.6247398572220953e-17,-1.0687898256887804,-1.1894663183301544,-0.4440940167833153,-5.2832411492621246e-05,0.0,-1.8685101751901281e-16,-12.025484868222945,-9.938868412204133,-1.879681580772009,-0.0002231161185564005,0.0,36.88993835449219,38.64998245239258,39.42998123168945,42.90983581542969,44.019981384277344,44.988311767578125,-0.3499340623613768,0.00015669245598910758,0.22438032929593912,-2.3030005845496784,2.130789318799044,0.0006264699068349168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,1.0,2.0,1.0,0.24,0.0,0.24,1.0,nan,nan,nan,nan,nan,nan,0.428088,47.18000030517578,47.073001861572266,46.95199966430664,46.86000061035156,46.99700164794922,46.93600082397461,47.21864318847656,0.6803395748138428,47.21864318847656,0.0,0.0
0.049001,1160.752,-0.3270214239703577,-1.420058552418844,1.2360506057739258,-1.3861287275897425,-1.5709541479693812,2.738044500350952,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3269999921321869,-1.4199999570846558,1.2359999418258667,-1.3860000371932983,-1.5709999799728394,2.73799991607666,0.0,0.0,0.0,0.0,0.0,0.0,0.0269165076315403,-1.0676881074905396,-0.6084914207458496,-0.2215607762336731,0.06602063775062561,0.041402772068977356,-1.6247398572220953e-17,-1.0687898256887804,-1.1894663183301544,-0.4440940167833153,-5.2832411492621246e-05,0.0,-1.8685101751901281e-16,-12.025484868222945,-9.938868412204133,-1.879681580772009,-0.0002231161185564005,0.0,36.88994598388672,38.64998245239258,39.42998123168945,42.90983581542969,44.019981384277344,44.988311767578125,-0.34993556041646146,0.0001587473161049005,0.22438923886266365,-2.303006567300726,2.130820335375276,0.0006700258468951083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,1.0,2.0,1.0,0.24,0.0,0.24,1.0,nan,nan,nan,nan,nan,nan,0.42468,47.16400146484375,47.073001861572266,46.92100143432617,46.86000061035156,46.99700164794922,46.93600082397461,47.21864318847656,0.6803395748138428,47.21864318847656,0.0,0.0
0.057123,1160.76,-0.3270214239703577,-1.4200227896319788,1.2360506057739258,-1.3861168066607874,-1.5709541479693812,2.738020658493042,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3269999921321869,-1.4199999570846558,1.2359999418258667,-1.3860000371932983,-1.5709999799728394,2.73799991607666,0.0,0.0,0.0,0.0,0.0,0.0,0.0291595496237278,-1.1080628633499146,-0.623741865158081,-0.2025378942489624,0.07049661129713058,0.0335698164999485,-1.6247398572220953e-17,-1.0687898256887804,-1.1894663183301544,-0.4440940167833153,-5.2832411492621246e-05,0.0,-1.8685101751901281e-16,-12.025484868222945,-9.938868412204133,-1.879681580772009,-0.0002231161185564005,0.0,36.88994598388672,38.64998245239258,39.42998123168945,42.90983581542969,44.019981384277344,44.988311767578125,-0.3499356691110046,0.0001588035467492004,0.2243763678958684,-2.303017718342714,2.130779667967933,0.0006016418492604177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,1.0,2.0,1.0,0.24,0.0,0.24,1.0,nan,nan,nan,nan,nan,nan,0.422952,47.16400146484375,47.073001861572266,46.92100143432617,46.86000061035156,46.99700164794922,46.93600082397461,47.21864318847656,0.6445291042327881,47.21864318847656,0.0,0.0
0.065243,1160.768,-0.3270214239703577,-1.4200347105609339,1.2360386848449707,-1.386092487965719,-1.5709541479693812,2.738032579421997,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3269999921321869,-1.4199999570846558,1.2359999418258667,-1.3860000371932983,-1.5709999799728394,2.73799991607666,0.0,0.0,0.0,0.0,0.0,0.0,0.0291595496237278,-1.119278073310852,-0.6145915985107422,-0.21708481013774872,0.07609158009290695,0.05930667370557785,-1.6247398572220953e-17,-1.0687898256887804,-1.1894663183301544,-0.4440940167833153,-5.2832411492621246e-05,0.0,-1.8685101751901281e-16,-12.025484868222945,-9.938868412204133,-1.879681580772009,-0.0002231161185564005,0.0,36.88994598388672,38.64998245239258,39.42998123168945,42.90983581542969,44.019981384277344,44.988311767578125,-0.34993197623197564,0.00015755989319415117,0.22438176538221039,-2.3030047815536556,2.1307933318460566,0.0006010138142895444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,1.0,2.0,1.0,0.24,0.0,0.24,1.0,nan,nan,nan,nan,nan,nan,0.42397199999999996,47.16400146484375,47.073001861572266,46.92100143432617,46.86000061035156,46.99700164794922,46.93600082397461,47.21864318847656,0.6803395748138428,47.21864318847656,0.0,0.0
0.073460,1160.7759999999998,-0.327033821736471,-1.4200347105609339,1.2360506057739258,-1.386080567036764,-1.5709660688983362,2.7379965782165527,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3269999921321869,-1.4199999570846558,1.2359999418258667,-1.3860000371932983,-1.5709999799728394,2.73799991607666,0.0,0.0,0.0,0.0,0.0,0.0,0.0291595496237278,-1.051986813545227,-0.6176416873931885,-0.20701386034488678,0.07049661129713058,0.02685585245490074,-1.6247398572220953e-17,-1.0687898256887804,-1.1894663183301544,-0.4440940167833153,-5.2832411492621246e-05,0.0,-1.8685101751901281e-16,-12.025484868222945,-9.938868412204133,-1.879681580772009,-0.0002231161185564005,0.0,36.88994598388672,38.64998245239258,39.42998123168945,42.90983581542969,44.019981384277344,44.988311767578125,-0.34992693504825956,0.0001628091319017273,0.22437724386528518,-2.3030147906251477,2.1307521542621326,0.0005743476707664338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,1.0,2.0,1.0,0.24,0.0,0.24,1.0,nan,nan,nan,nan,nan,nan,0.435444,47.16400146484375,47.05799865722656,46.92100143432617,46.86000061035156,46.99700164794922,46.93600082397461,47.21864318847656,0.7877604365348816,47.21864318847656,0.0,0.0
