t,bf,pos_err,rot_err,pd_x,pd_y,pd_z,pd_ref_x,pd_ref_y,pd_ref_z,p_x,p_y,p_z,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,q_servo0,q_servo1,q_servo2,q_servo3,q_servo4,q_servo5,dq_des0,dq_des1,dq_des2,dq_des3,dq_des4,dq_des5,tau0,tau1,tau2,tau3,tau4,tau5,tau_lim0,tau_lim1,tau_lim2,tau_lim3,tau_lim4,tau_lim5
0.0,0.0,0.09995967319141111,0.07653021037712766,0.3500404475724022,-0.00011005861721109104,0.34989031814727856,0.45,0.0,0.35,0.3500404475724022,-0.00011005861721109104,0.34989031814727856,-0.3270214239703577,-1.420046631489889,1.2358226776123047,-1.3858655134784144,-1.5709541479693812,2.738044500350952,0.00013422331539914012,0.0,-0.00028762139845639467,0.0005992112564854324,0.0009827064350247383,0.0,-0.32702091277847023,-1.4200466315906377,1.2358215823727248,-1.385863231605779,-1.5709504058248775,2.7380445004204543,0.0001277979718774146,-2.5187177088376843e-08,-0.00027380989497922384,0.0005704681588013519,0.000935536125879441,1.7375538892955286e-08,-0.000609116365408065,-8.034127349927763,-6.268379565531566,-0.9627126264231183,-8.903138170239652e-05,2.8879436195711417e-07,28.0,28.0,14.0,6.0,6.0,6.0
0.004,0.008,0.09995972140798562,0.07653021037712766,0.3508401219438247,-0.00010789815045793453,0.34989119560210036,0.44999974400021847,0.00015999972693347316,0.35,0.3500404475724022,-0.00011005861721109104,0.34989031814727856,-0.3270214239703577,-1.420046631489889,1.2358226776123047,-1.3858655134784144,-1.5709541479693812,2.738044500350952,0.00013422331539914012,0.0,-0.00028762139845639467,0.0005992112564854324,0.0009827064350247383,0.0,-0.3270198076780464,-1.420044596814658,1.2358181531549448,-1.385860713570611,-1.5709468388417982,2.738045823892671,0.0002762751059587798,0.0005086939949396478,-0.0008573044449761769,0.0006295087920548518,0.0008917457698404681,0.0003308680541315938,-0.0028384023788225123,-8.00362376206142,-6.266095627841517,-0.9632658350569767,0.00018888149883132855,8.18782703201623e-06,28.0,28.0,14.0,6.0,6.0,6.0
0.008,0.016,0.09996144068574418,0.07658890819192575,0.35163978402729973,-0.00010317771428817534,0.3498920730569221,0.44999897600349525,0.0003199978154711406,0.35,0.3500384301470167,-9.376185823470065e-05,0.3499122561864721,-0.3269856611834925,-1.4200823942767542,1.2357988357543945,-1.3859012762652796,-1.570918385182516,2.738020658493042,0.00013422331539914012,0.0,-0.00028762139845639467,0.00043143212678842247,0.0009827064350247383,0.0,-0.3270175374692723,-1.4200385680328689,1.2358101032531588,-1.3858575329852094,-1.570943475676606,2.7380497721300645,0.0005675521935247803,0.0015071954472771678,-0.0020124754465270533,0.0007951463503548923,0.000840791298043528,0.0009870593483229143,-0.005600770994743368,-7.971359181332011,-6.263304635261485,-0.9637174924420406,0.0004597281864509188,1.6855628492905624e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.012,0.024,0.09996095100883794,0.07658890819192575,0.3524394215350892,-9.589738734440948e-05,0.3498929505117439,0.4499976960176947,0.0004799926272339738,0.35,0.3500384301470167,-9.376185823470065e-05,0.3499122561864721,-0.3269856611834925,-1.4200823942767542,1.2357988357543945,-1.3859012762652796,-1.570918385182516,2.738020658493042,0.00013422331539914012,0.0,-0.00028762139845639467,0.00043143212678842247,0.0009827064350247383,0.0,-0.3270135454424727,-1.4200267485611242,1.2357953180363608,-1.3858533807896982,-1.5709403019878545,2.738057519531837,0.0009980066999053356,0.0029548679361678524,-0.003696304199468756,0.0010380488778138034,0.0007934221878845519,0.001936850443112844,-0.007676481677712009,-7.940942150561174,-6.261057644840154,-0.964275106770074,0.0007414620546287417,2.4754651155272054e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.016,0.032,0.09996020543218652,0.07658890819192575,0.3532390221798749,-8.605730069628816e-05,0.3498938279665656,0.44999590405592377,0.0006399825238764985,0.35,0.3500384301470167,-9.376185823470065e-05,0.3499122561864721,-0.3269856611834925,-1.4200823942767542,1.2357988357543945,-1.3859012762652796,-1.570918385182516,2.738020658493042,0.00013422331539914012,0.0,-0.00028762139845639467,0.00043143212678842247,0.0009827064350247383,0.0,-0.32700730403056766,-1.4200074488915913,1.235771806782654,-1.3858479641230228,-1.5709373042915824,2.7380701742924045,0.0015603529762615873,0.004824917383261405,-0.005877813426675896,0.0013541666688350624,0.0007494240680197497,0.003163690141896634,-0.00967495473231371,-7.910569829762491,-6.2588297446749666,-0.964835024513819,0.001025108538660849,3.2653664648207416e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.02,0.04,0.09995920395769865,0.07658890819192575,0.3540385736749674,-7.365763783850456e-05,0.3498947054213874,0.4499936001365322,0.0007999658671035708,0.35,0.3500384301470167,-9.376185823470065e-05,0.3499122561864721,-0.3269856611834925,-1.4200823942767542,1.2357988357543945,-1.3859012762652796,-1.570918385182516,2.738020658493042,0.00013422331539914012,0.0,-0.00028762139845639467,0.00043143212678842247,0.0009827064350247383,0.0,-0.3269983130752897,-1.419979080292992,1.235737695280971,-1.3858410053564674,-1.5709344699098826,2.7380887823586466,0.0022477388194864422,0.007092149649819825,-0.008527875420727372,0.0017396916388642825,0.0007085954249614619,0.004652016560576509,-0.011596258473240037,-7.880242639999971,-6.256620966202793,-0.965397238044269,0.001310661004006464,4.055266601081116e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.024,0.048,0.09995485416436753,0.07656580785486185,0.3548380637345163,-5.8698634687975264e-05,0.34989558287620914,0.44999078428311207,0.0009599410186871542,0.35,0.3500415627053903,-9.585524689977453e-05,0.34989383374817484,-0.3269856611834925,-1.420046631489889,1.2358107566833496,-1.3858655134784144,-1.570930306111471,2.738044500350952,0.00013422331539914012,0.0,-0.0002636529679875821,0.00043143212678842247,0.0009827064350247383,0.0,-0.3269861000392124,-1.4199401899281572,1.2356912563599585,-1.3858323324377035,-1.5709317726987901,2.738114301843233,0.0030532590193230722,0.009722591208667818,-0.011609730253170327,0.0021682296909390957,0.000674302773120482,0.0063798711465914365,-0.01319047599898922,-7.851480529635462,-6.254856339407276,-0.9660382817500246,0.0015980445364675686,4.81441996050542e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.028,0.056,0.09995334431028645,0.07656580785486185,0.35563748007371954,-4.118057958021666e-05,0.34989646033103095,0.4499874565244977,0.0011199063404830943,0.35,0.3500415627053903,-9.585524689977453e-05,0.34989383374817484,-0.3269856611834925,-1.420046631489889,1.2358107566833496,-1.3858655134784144,-1.570930306111471,2.738044500350952,0.00013422331539914012,0.0,-0.0002636529679875821,0.00043143212678842247,0.0009827064350247383,0.0,-0.32697021470766247,-1.4198893704666036,1.2356308260515279,-1.3858216899587488,-1.57092920222078,2.738147666864577,0.0039713328874916,0.012704865388423626,-0.015107577107676773,0.0026606197386939354,0.0006426195025479341,0.008341255336041922,-0.014957437168569942,-7.821245746331794,-6.252686763047884,-0.9666052690522658,0.0018873924167295297,5.604316821619127e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.032,0.064,0.09995157857603136,0.07656580785486185,0.35643681040903347,-2.1103813264916e-05,0.3498973377858527,0.44998361689476535,0.0012798601944478938,0.35,0.3500415627053903,-9.585524689977453e-05,0.34989383374817484,-0.3269856611834925,-1.420046631489889,1.2358107566833496,-1.3858655134784144,-1.570930306111471,2.738044500350952,0.00013422331539914012,0.0,-0.0002636529679875821,0.00043143212678842247,0.0009827064350247383,0.0,-0.32695022967864135,-1.4198252985165953,1.2355548374027958,-1.3858088355134695,-1.5709267486613006,2.7381897596923266,0.004996257255281563,0.016017987502086516,-0.018997162182997372,0.0032136113198317374,0.0006133898698666843,0.010523206937363198,-0.01664744082446305,-7.791057353344581,-6.250536398970089,-0.9671745284913236,0.0021786261169985323,6.394211592754926e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.036000000000000004,0.07200000000000001,0.09995872007965657,0.07648193946532103,0.357236042458382,1.5312710993025216e-06,0.3498982152406745,0.44997926543323274,0.001439800942655486,0.35,0.35003252854620387,-0.00010531055859911363,0.349909799962015,-0.3270214239703577,-1.4200947920428675,1.2358107566833496,-1.3858655134784144,-1.570930306111471,2.7380921840667725,0.00011504856229294091,0.0,-0.0002636529679875821,0.00043143212678842247,0.0009827064350247383,0.0,-0.32692571872867593,-1.4197466907157352,1.2354617912385106,-1.3857934989007379,-1.5709244032308207,2.738241338914784,0.006127737491356094,0.019651950215022303,-0.0232615410713023,0.0038341531829083975,0.000586357619974807,0.012894805614383498,-0.018068119975024437,-7.759482025640169,-6.248035722303645,-0.9676902432120984,0.00248276591426474,7.072307616332949e-05,28.0,28.0,14.0,6.0,6.0,6.0
